2026/09/21 20:05:30.931, 384.04 W, 600.00 W, 2880 MHz, 61, 31744 MiB
2026/09/21 20:05:31.932, 384.10 W, 600.00 W, 2880 MHz, 62, 31744 MiB
2026/09/21 20:05:32.933, 384.39 W, 600.00 W, 2880 MHz, 62, 31744 MiB
2026/09/21 20:05:33.934, 385.14 W, 600.00 W, 2880 MHz, 62, 31744 MiB
2026/09/21 20:05:34.934, 385.62 W, 600.00 W, 2880 MHz, 62, 31744 MiB
2026/09/21 20:05:35.935, 386.02 W, 600.00 W, 2880 MHz, 62, 31744 MiB
2026/09/21 20:05:36.936, 385.99 W, 600.00 W, 2880 MHz, 62, 31744 MiB
2026/09/21 20:05:37.937, 385.85 W, 600.00 W, 2880 MHz, 62, 31744 MiB
2026/09/21 20:05:38.938, 372.49 W, 600.00 W, 2880 MHz, 68, 31744 MiB
2026/09/21 20:05:39.939, 607.15 W, 600.00 W, 2715 MHz, 69, 31744 MiB
2026/09/21 20:05:40.939, 600.51 W, 600.00 W, 2730 MHz, 71, 31744 MiB
2026/09/21 20:05:41.940, 599.61 W, 600.00 W, 2692 MHz, 73, 31744 MiB
2026/09/21 20:05:42.941, 601.30 W, 600.00 W, 2692 MHz, 72, 31744 MiB
2026/09/21 20:05:43.941, 544.55 W, 600.00 W, 2760 MHz, 64, 31744 MiB
2026/09/21 20:05:44.942, 388.75 W, 600.00 W, 2872 MHz, 64, 31744 MiB
2026/09/21 20:05:45.943, 388.29 W, 600.00 W, 2872 MHz, 64, 31744 MiB
2026/09/21 20:05:46.944, 388.49 W, 600.00 W, 2872 MHz, 64, 31744 MiB
2026/09/21 20:05:47.945, 344.53 W, 600.00 W, 2872 MHz, 59, 31744 MiB
2026/09/21 20:05:48.945, 102.05 W, 600.00 W, 2887 MHz, 57, 31744 MiB
2026/09/21 20:05:49.946, 94.05 W, 600.00 W, 2640 MHz, 56, 31744 MiB
2026/09/21 20:05:50.946, 78.58 W, 600.00 W, 2542 MHz, 56, 31744 MiB
2026/09/21 20:05:51.947, 76.94 W, 600.00 W, 2542 MHz, 56, 31744 MiB
2026/09/21 20:05:52.947, 76.31 W, 600.00 W, 2542 MHz, 55, 31744 MiB
2026/09/21 20:05:53.948, 75.75 W, 600.00 W, 2542 MHz, 55, 31744 MiB
2026/09/21 20:05:54.949, 75.21 W, 600.00 W, 2542 MHz, 55, 31744 MiB
2026/09/21 20:05:55.949, 74.40 W, 600.00 W, 2542 MHz, 55, 31744 MiB
2026/09/21 20:05:56.950, 74.38 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:05:57.950, 74.09 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:05:58.951, 73.60 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:05:59.951, 73.08 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:06:00.952, 72.37 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:06:01.952, 72.39 W, 600.00 W, 2542 MHz, 54, 31744 MiB
2026/09/21 20:06:02.953, 72.64 W, 600.00 W, 2542 MHz, 53, 31744 MiB
2026/09/21 20:06:03.953, 72.24 W, 600.00 W, 2542 MHz, 53, 31744 MiB
2026/09/21 20:06:04.954, 71.83 W, 600.00 W, 2542 MHz, 53, 31744 MiB
2026/09/21 20:06:05.956, 37.76 W, 600.00 W, 442 MHz, 52, 31744 MiB
2026/09/21 20:06:06.958, 379.66 W, 600.00 W, 2767 MHz, 68, 31744 MiB
2026/09/21 20:06:07.960, 603.79 W, 600.00 W, 2730 MHz, 70, 31744 MiB
2026/09/21 20:06:08.960, 600.39 W, 600.00 W, 2700 MHz, 70, 31744 MiB
2026/09/21 20:06:09.961, 599.59 W, 600.00 W, 2692 MHz, 70, 31744 MiB
2026/09/21 20:06:10.962, 600.33 W, 600.00 W, 2700 MHz, 71, 31744 MiB
2026/09/21 20:06:11.962, 599.38 W, 600.00 W, 2670 MHz, 71, 31824 MiB
2026/09/21 20:06:12.963, 600.78 W, 600.00 W, 2707 MHz, 70, 31824 MiB
2026/09/21 20:06:13.965, 601.26 W, 600.00 W, 2700 MHz, 71, 31824 MiB
2026/09/21 20:06:14.966, 600.17 W, 600.00 W, 2692 MHz, 72, 31824 MiB
2026/09/21 20:06:15.966, 600.22 W, 600.00 W, 2700 MHz, 70, 31824 MiB
2026/09/21 20:06:16.967, 493.04 W, 600.00 W, 2850 MHz, 65, 31824 MiB
2026/09/21 20:06:17.968, 452.45 W, 600.00 W, 2850 MHz, 65, 31824 MiB
2026/09/21 20:06:18.969, 452.86 W, 600.00 W, 2850 MHz, 65, 31824 MiB
2026/09/21 20:06:19.970, 463.08 W, 600.00 W, 2850 MHz, 71, 31824 MiB
2026/09/21 20:06:20.970, 605.43 W, 600.00 W, 2767 MHz, 71, 31824 MiB
2026/09/21 20:06:21.971, 601.10 W, 600.00 W, 2715 MHz, 72, 31824 MiB
2026/09/21 20:06:22.972, 601.12 W, 600.00 W, 2677 MHz, 74, 31824 MiB
2026/09/21 20:06:23.973, 599.47 W, 600.00 W, 2700 MHz, 74, 31824 MiB
2026/09/21 20:06:24.973, 599.30 W, 600.00 W, 2715 MHz, 73, 31824 MiB
2026/09/21 20:06:25.974, 600.68 W, 600.00 W, 2677 MHz, 71, 31824 MiB
2026/09/21 20:06:26.975, 599.83 W, 600.00 W, 2662 MHz, 73, 31824 MiB
2026/09/21 20:06:27.976, 599.64 W, 600.00 W, 2685 MHz, 72, 31824 MiB
2026/09/21 20:06:28.976, 600.26 W, 600.00 W, 2700 MHz, 72, 31824 MiB
2026/09/21 20:06:29.977, 600.33 W, 600.00 W, 2737 MHz, 74, 31824 MiB
2026/09/21 20:06:30.978, 599.33 W, 600.00 W, 2715 MHz, 74, 31824 MiB
2026/09/21 20:06:31.979, 600.19 W, 600.00 W, 2692 MHz, 73, 31824 MiB
2026/09/21 20:06:32.980, 598.77 W, 600.00 W, 2692 MHz, 76, 31824 MiB
